,RESUMEN,,,,,,,,,,,,,,,,,,,
,Personal docente,,Programas Académicos,,SNI,,PRODEP,,WoS (Artículos),,SCOPUS (Artículos),,Patentes,,,,PNPC,,COPAES,
,,,,,,,,,,,,,Solicitadas,,Otorgadas,,,,Acreditados,
,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,
,Núm.,% Nal.,Núm.,% Nal.,Núm.,% Nal.,Núm.,% Nal.,Núm.,% Nal.,Núm.,% Nal.,Núm.,% Nal.,Núm.,% Nal.,Núm.,% Nal.,Núm.,% Nal.
Total*,436619,100,44184,100,28633,100,5815,100,19251,100,18996,100,2613,100,1653,100,2338,100,3601,100
Selección**,101154,23.17,5129,11.61,11766,41.09,1485,25.54,11012,57.2,11067,58.26,922,35.29,447,27.04,965,41.27,833,23.13
INSTITUCIONES,,,,,,,,,,,,,,,,,,,,
EL COLEGIO DE MEXICO,254,0.06,18,0.04,195,0.68,31,0.53,89,0.46,50,0.28,-,-,-,-,15,0.64,2,0.06
"UNIVERSIDAD DE LAS AMERICAS PUEBLA, AC",634,0.15,125,0.28,91,0.32,,,82,0.43,79,0.44,-,-,2,0.12,4,0.17,51,1.42
INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,687,0.16,33,0.07,95,0.33,,,86,0.45,60,0.33,-,-,-,-,1,0.04,5,0.14
UNIVERSIDAD AUTONOMA DE LA CIUDAD DE MEXICO ,830,0.19,64,0.14,107,0.37,,,71,0.37,57,0.31,-,-,-,-,1,0.04,-,-
UNIVERSIDAD DEL EJERCITO Y FUERZA AEREA,874,0.2,68,0.15,5,0.02,,,8,0.04,1,0.01,-,-,1,0.06,-,-,6,0.17
UNIVERSIDAD DE MONTERREY,964,0.22,112,0.25,64,0.22,,,69,0.36,71,0.39,1,0.04,-,-,6,0.26,22,0.61
UNIVERSIDAD AUTONOMA DE GUADALAJARA,1217,0.28,196,0.44,21,0.07,,,35,0.18,31,0.17,3,0.11,-,-,-,-,20,0.56
UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA ,1251,0.29,217,0.49,47,0.16,,,66,0.34,52,0.29,11,0.42,1,0.06,14,0.6,36,1
INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE,1452,0.33,66,0.15,43,0.15,,,33,0.17,26,0.14,11,0.42,2,0.12,10,0.43,25,0.69
SISTEMA UNIVERSIDAD IBEROAMERICANA,1958,0.45,321,0.73,143,0.5,,,269,1.4,235,1.29,3,0.11,3,0.18,25,1.07,28,0.78
UNIVERSIDAD PANAMERICANA,2063,0.47,218,0.49,115,0.4,,,119,0.62,105,0.58,-,-,-,-,3,0.13,15,0.42
BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,4129,0.95,268,0.61,671,2.34,214,3.68,780,4.05,705,3.88,148,5.66,61,3.69,66,2.82,52,1.44
"SISTEMA UNIVERSIDAD LA SALLE, AC",4736,1.08,515,1.17,46,0.16,,,71,0.37,66,0.36,2,0.08,1,0.06,4,0.17,29,0.81
UNIVERSIDAD AUTONOMA DE NUEVO LEON,5796,1.33,268,0.61,804,2.81,244,4.2,688,3.57,639,3.52,148,5.66,69,4.17,134,5.73,65,1.81
UNIVERSIDAD AUTONOMA METROPOLITANA,5923,1.36,194,0.44,1163,4.06,264,4.54,933,4.85,842,4.64,46,1.76,42,2.54,75,3.21,37,1.03
UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,6620,1.52,333,0.75,520,1.82,220,3.78,484,2.51,411,2.26,15,0.57,4,0.24,67,2.87,111,3.08
SISTEMA INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY ,9477,2.17,855,1.94,518,1.81,,,722,3.75,686,3.78,130,4.98,104,6.29,54,2.31,37,1.03
UNIVERSIDAD DE GUADALAJARA,9775,2.24,536,1.21,1162,4.06,512,8.8,892,4.63,814,4.48,22,0.84,12,0.73,187,8,127,3.53
INSTITUTO POLITECNICO NACIONAL,10108,2.32,246,0.56,1210,4.23,,,2235,11.61,1615,8.9,154,5.89,85,5.14,106,4.53,54,1.5
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,32406,7.42,476,1.08,4746,16.58,,,5231,27.17,5958,32.82,236,9.03,197,11.92,193,8.25,111,3.08
